urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.320	<l xmlns="http://www.tei-c.org/ns/1.0" n="320"> ἀλλ' ὅ γε <persName n="urn:cite:hmt:pers.pers159"> Ταλθύβιόν</persName> τε καὶ <persName n="urn:cite:hmt:pers.pers160"> Εὐρυβάτην</persName> προσέειπε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.322	<l xmlns="http://www.tei-c.org/ns/1.0" n="322"> ἔρχεσθον κλισίην <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.323	<l xmlns="http://www.tei-c.org/ns/1.0" n="323"> χειρὸς ἑλόντ' ἀγέμεν <persName n="urn:cite:hmt:pers.pers113"> Βρισηΐδα</persName> καλλιπάρηον. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.330	<l xmlns="http://www.tei-c.org/ns/1.0" n="330"> ἥμενον· οὐδ' άρα τώ γε ἰδὼν γήθησεν <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.334	<l xmlns="http://www.tei-c.org/ns/1.0" n="334"> χαίρετε κήρυκες <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> ἄγγελοι ἠδὲ καὶ ἀνδρῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.335	<l xmlns="http://www.tei-c.org/ns/1.0" n="335"> ἄσσον ΐτ', οὔ τί μοι ὕμμες ἐπαίτιοι· ἀλλ' <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.336	<l xmlns="http://www.tei-c.org/ns/1.0" n="336"> ὃ, <w> σφῶϊ <add place="supralinear"> ν</add></w> προΐει <persName n="urn:cite:hmt:pers.pers113"> Βρισηΐδος</persName> εἵνεκα κούρης: </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.337	<l xmlns="http://www.tei-c.org/ns/1.0" n="337"> ἀλλ' ἄγε διογενὲς <persName n="urn:cite:hmt:pers.pers158"> Πατρόκλεις</persName> ἔξαγε κούρην. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.345	<l xmlns="http://www.tei-c.org/ns/1.0" n="345"> ὡς φάτο, <persName n="urn:cite:hmt:pers.pers158"> Πάτροκλος</persName> δὲ φίλῳ ἐπεπείθεθ' ἑταίρῳ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.346	<l xmlns="http://www.tei-c.org/ns/1.0" n="346"> ἐκ δ' ἄγαγε κλισίης <persName n="urn:cite:hmt:pers.pers113"> Βρισηΐδα</persName> καλλιπάρηον· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.348	<l xmlns="http://www.tei-c.org/ns/1.0" n="348"> <sic> ἡδ`'</sic> ἀέκουσ' ἅμα τοῖσι γυνὴ κίεν· αὐτὰρ <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.354	<l xmlns="http://www.tei-c.org/ns/1.0" n="354"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> ὑψιβρεμέτης. νῦν δ' οὐδέ με τυτθὸν ἔτισεν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.355	<l xmlns="http://www.tei-c.org/ns/1.0" n="355"> ῆ γάρ μ' <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> εὐρὺ κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.364	<l xmlns="http://www.tei-c.org/ns/1.0" n="364"> τηνδὲ βαρὺ στενάχων προσέφη πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεΰς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.366	<l xmlns="http://www.tei-c.org/ns/1.0" n="366"> ᾠχόμεθ' ἐς <placeName n="urn:cite:hmt:place.place51"> Θήβην</placeName> ἱερὴν πόλιν <persName n="urn:cite:hmt:pers.pers170"> Ἠετίωνος</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.369	<l xmlns="http://www.tei-c.org/ns/1.0" n="369"> ἐκ δ' έλον <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδῃ</persName> <persName n="urn:cite:hmt:pers.pesr108"> Χρυσηΐδα</persName> καλλιπάρηον· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.370	<l xmlns="http://www.tei-c.org/ns/1.0" n="370"> <persName n="urn:cite:hmt:pers.pers44"> Χρύσης</persName> δ' <w> αὖ <add place="supralinear"> θ’</add></w> ἱερεὺς ἑκατηβόλου <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνος</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.373	<l xmlns="http://www.tei-c.org/ns/1.0" n="373"> στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.375	<l xmlns="http://www.tei-c.org/ns/1.0" n="375"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδᾱ</persName> δὲ μάλιστα δύω κοσμήτορε λαῶν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.378	<l xmlns="http://www.tei-c.org/ns/1.0" n="378"> ἀλλ' οὐκ <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδῃ Ἀγαμέμνονι</persName> ἥνδανε θυμῷ· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.380	<l xmlns="http://www.tei-c.org/ns/1.0" n="380"> χωόμενος δ' ὁ γέρων πάλιν ᾤχετο· τοῖο δ' <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.387	<l xmlns="http://www.tei-c.org/ns/1.0" n="387"> <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείωνα</persName> <sic> δ`'</sic> ἔπειτα χόλος λάβεν· αἶψα <sic> δ`'</sic> ἀναστὰς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.390	<l xmlns="http://www.tei-c.org/ns/1.0" n="390"> ἐς <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> πέμπουσιν· ἄγουσι δὲ δῶρα ἄνακτι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.392	<l xmlns="http://www.tei-c.org/ns/1.0" n="392"> κούρην <persName n="urn:cite:hmt:pers.pers698"> Βρισῆος</persName> τήν μοι δόσαν υἷες <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀχαιῶν</rs> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.394	<l xmlns="http://www.tei-c.org/ns/1.0" n="394"> ἐλθοῦς' οὔλυμπον δὲ, <persName n="urn:cite:hmt:pers.pers8"> Δία</persName> λίσαι· εἴ ποτε δή τι </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.395	<l xmlns="http://www.tei-c.org/ns/1.0" n="395"> ἢ ἔπει ὤνησας κραδίην <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> , ἠὲ καὶ ἔργῳ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.397	<l xmlns="http://www.tei-c.org/ns/1.0" n="397"> εὐχομένης, ὅτ' ἔφησθα κελαινεφέϊ <persName n="urn:cite:hmt:pers.pers8"> Κρονίωνι</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.400	<l xmlns="http://www.tei-c.org/ns/1.0" n="400"> <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> τ' ἠδὲ <persName n="urn:cite:hmt:pers.pers47"> Ποσειδάων</persName> καὶ <persName n="urn:cite:hmt:pers.pers67"> Παλλὰς Ἀθήνη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.403	<l xmlns="http://www.tei-c.org/ns/1.0" n="403"> ὃν, <persName n="urn:cite:hmt:pers.pers174"> Βριάρεων</persName> καλέουσι θεοὶ· ἄνδρες δέ τε πάντες </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.404	<l xmlns="http://www.tei-c.org/ns/1.0" n="404"> <persName n="urn:cite:hmt:pers.pers174"> Αἰγαίων'</persName> · ὃ γὰρ αὖτε βίῃ, οὗ, πατρὸς ἀμείνων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.405	<l xmlns="http://www.tei-c.org/ns/1.0" n="405"> ὅς ῥα παρὰ <persName n="urn:cite:hmt:pers.pers8"> Κρονίωνι</persName> καθέζετο κύδεϊ γαίων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.411	<l xmlns="http://www.tei-c.org/ns/1.0" n="411"> γνῷ δὲ καὶ <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> εὐρὺ κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.413	<l xmlns="http://www.tei-c.org/ns/1.0" n="413"> τὸν δ' ἠμείβετ' ἔπειτα <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> κατὰ δάκρυ χέουσα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.419	<l xmlns="http://www.tei-c.org/ns/1.0" n="419"> τοῦτο δέ τοι ἐρέουσα ἔπος <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> τερπικεραύνῳ </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.423	<l xmlns="http://www.tei-c.org/ns/1.0" n="423"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> γὰρ ἐς <persName n="urn:cite:hmt:pers.pers123"> Ὠκεανὸν</persName> μετ' ἀμύμονας <rs n="urn:cite:hmt:place.place46" type="ethnic"> Αἰθιοπῆας</rs></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.426	<l xmlns="http://www.tei-c.org/ns/1.0" n="426"> καὶ τότ' ἔπειτά τοι εἶμι <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> ποτὶ χαλκοβατὲς δῶ. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.430	<l xmlns="http://www.tei-c.org/ns/1.0" n="430"> τήν ῥα βίῃ ἀέκοντος ἀπηύρων· αὐτὰρ <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.431	<l xmlns="http://www.tei-c.org/ns/1.0" n="431"> ἐς <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> ἵ̈κανεν ἄγων ἱερὴν ἑκατόμβην: </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.438	<l xmlns="http://www.tei-c.org/ns/1.0" n="438"> ἐκ δ' ἑκατόμβην βῆσαν ἑκηβόλῳ <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλωνι</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.439	<l xmlns="http://www.tei-c.org/ns/1.0" n="439"> ἐκ δὲ <persName n="urn:cite:hmt:pers.pers108"> Χρυσηῒς</persName> νηὸς βῆ ποντοπόροιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.440	<l xmlns="http://www.tei-c.org/ns/1.0" n="440"> τὴν μὲν ἔπειτ' ἐπι βωμὸν ἄγων πολύμητις <persName n="urn:cite:hmt:pers.pers118"> Ὀδυσσεὺς</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.442	<l xmlns="http://www.tei-c.org/ns/1.0" n="442"> ὦ <persName n="urn:cite:hmt:pers.pers44"> Χρύση</persName> · πρό μ' ἔπεμψεν ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.443	<l xmlns="http://www.tei-c.org/ns/1.0" n="443"> παῖδά τε σοὶ ἀγέμεν, <persName n="urn:cite:hmt:pers.pers40"> Φοίβῳ</persName> θ' ἱερὴν ἑκατόμβην </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.444	<l xmlns="http://www.tei-c.org/ns/1.0" n="444"> ῥέξαι ὑπερ <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναῶν</rs> , ὄφρ' ἱ̈λασόμεσθα ἄνακτα. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.450	<l xmlns="http://www.tei-c.org/ns/1.0" n="450"> τοῖσιν δὲ <persName n="urn:cite:hmt:pers.pers44"> Χρύσης</persName> μεγάλ' εὔχετο χεῖρας ἀνασχών· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.451	<l xmlns="http://www.tei-c.org/ns/1.0" n="451"> κλῦθί μευ ἀργυρότοξ', ὃς <persName n="urn:cite:hmt:pers.pers44"> Χρύσην</persName> ἀμφιβέβηκας </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.456	<l xmlns="http://www.tei-c.org/ns/1.0" n="456"> ἤδη νῦν <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοῖσιν</rs> ἀεικέα λοιγὸν ἄμυνον· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.457	<l xmlns="http://www.tei-c.org/ns/1.0" n="457"> ὡς ἔφατ' εὐχόμενος. τοῦ δ' ἔκλυε <persName n="urn:cite:hmt:pers.pers40"> Φοῖβος Ἀπόλλων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.477	<l xmlns="http://www.tei-c.org/ns/1.0" n="477"> ἦμος <sic> δ`'</sic> ἠριγένεια φάνη ῥοδοδάκτυλος <persName n="urn:cite:hmt:pers.pers286"> Ἠὼς</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.479	<l xmlns="http://www.tei-c.org/ns/1.0" n="479"> τοῖσιν δ' ἴ̈κμενον οὖρον ἵ̈ει ἑκάεργος <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.489	<l xmlns="http://www.tei-c.org/ns/1.0" n="489"> διογενὴς, πηλέος υἱὸς, πόδας ὠκὺς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλλεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.495	<l xmlns="http://www.tei-c.org/ns/1.0" n="495"> πάντες ἅμα· <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> δ' ἦρχε· <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> δ' οὐ λήθετ' ἐφετμέων </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.498	<l xmlns="http://www.tei-c.org/ns/1.0" n="498"> εὗρεν δ' εὐρύοπα <persName n="urn:cite:hmt:pers.pers8"> Κρονίδην</persName> ἄτερ ἥμενον ἄλλων· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.502	<l xmlns="http://www.tei-c.org/ns/1.0" n="502"> λισσομένη προσέειπε <persName n="urn:cite:hmt:pers.pers8"> Δία Κρονίωνα</persName> ἄνακτα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.503	<l xmlns="http://www.tei-c.org/ns/1.0" n="503"> <persName n="urn:cite:hmt:pers.pers8"> Ζεῦ</persName> πάτερ· εἴ ποτε δή σε μετ' ἀθανάτοισιν ὄνησα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.506	<l xmlns="http://www.tei-c.org/ns/1.0" n="506"> ἔπλετ'· ἀτάρ μιν, νῦν γε ἄναξ ἀνδρῶν <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.508	<l xmlns="http://www.tei-c.org/ns/1.0" n="508"> ἀλλὰ σύ πέρ μιν τῖσον <placeName n="urn:cite:hmt:place.place45"> Ὀλύμπιε</placeName> μητίετα <persName n="urn:cite:hmt:pers.pers8"> Ζεῦ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.511	<l xmlns="http://www.tei-c.org/ns/1.0" n="511"> ὡς φάτο· τὴν <sic> δ`'</sic> οὔ τι προσέφη νεφεληγερέτα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.512	<l xmlns="http://www.tei-c.org/ns/1.0" n="512"> ἀλλ' ἀκέων, δὴν, ἧστο· <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> δ' ὡς ἥψατο γούνων, </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.517	<l xmlns="http://www.tei-c.org/ns/1.0" n="517"> τὴν δὲ προσέφη νεφεληγερέτα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.523	<l xmlns="http://www.tei-c.org/ns/1.0" n="523"> <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · ἐμοὶ δέ κε, ταῦτα μελήσεται ὄφρα τελέσσω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.533	<l xmlns="http://www.tei-c.org/ns/1.0" n="533"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> δὲ ἑὸν πρὸς δῶμα· θεοὶ δ' ἅμα πάντες ἀνέσταν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.536	<l xmlns="http://www.tei-c.org/ns/1.0" n="536"> ὡς ὁ μὲν ἔνθα καθέζετ' ἐπὶ θρόνου· οὐδέ μιν <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.538	<l xmlns="http://www.tei-c.org/ns/1.0" n="538"> ἀργυρόπεζα <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> . θυγάτηρ ἁλίοιο γέροντος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.539	<l xmlns="http://www.tei-c.org/ns/1.0" n="539"> αὐτίκα κερτομίοισι, <persName n="urn:cite:hmt:pers.pers8"> Δία</persName> , <persName n="urn:cite:hmt:pers.pers8"> Κρονίωνα</persName> προσηῦδα· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.545	<l xmlns="http://www.tei-c.org/ns/1.0" n="545"> <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · μὴ δὴ πάντας ἐμοὺς ἐπιέλπεο μύθους </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.551	<l xmlns="http://www.tei-c.org/ns/1.0" n="551"> τὸν δ' ἠμείβετ' ἔπειτα βοῶπις πότνια <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.552	<l xmlns="http://www.tei-c.org/ns/1.0" n="552"> αἰνότατε <persName n="urn:cite:hmt:pers.pers8"> Κρονίδη</persName> · ποῖον τὸν μῦθον ἔειπες· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.556	<l xmlns="http://www.tei-c.org/ns/1.0" n="556"> ἀργυρόπεζα <persName n="urn:cite:hmt:pers.pers119"> Θέτις</persName> , θυγάτηρ ἁλίοιο γέροντος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.558	<l xmlns="http://www.tei-c.org/ns/1.0" n="558"> τῇ σ' ὀΐω κατανεῦσαι ἐτήτυμον, ὡς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλῆα</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.560	<l xmlns="http://www.tei-c.org/ns/1.0" n="560"> τὴν <sic> δ`'</sic> ἀπαμειβόμενος προσέφη νεφεληγερέτα <persName n="urn:cite:hmt:pers.pers8"> Ζεύς</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.568	<l xmlns="http://www.tei-c.org/ns/1.0" n="568"> Ὣς ἔφατ'. ἔδδεισεν δὲ βοῶπις πότνια <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> , </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.570	<l xmlns="http://www.tei-c.org/ns/1.0" n="570"> ὄχθησαν <sic> δ`'</sic> ἀνὰ δῶμα <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> θεοὶ Οὐρανίωνες· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.571	<l xmlns="http://www.tei-c.org/ns/1.0" n="571"> τοῖσιν δ' <persName n="urn:cite:hmt:pers.pers192"> Ἥφαιστος</persName> κλυτοτέχνης ἦρχ' ἀγορεύειν </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.572	<l xmlns="http://www.tei-c.org/ns/1.0" n="572"> μητρὶ φίλῃ ἐπίηιρα φέρων <choice> <corr> λευκῳλένῳ</corr> <sic> λευκωλένῳ</sic></choice> <persName n="urn:cite:hmt:pers.pers116"> Ἥρῃ</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.578	<l xmlns="http://www.tei-c.org/ns/1.0" n="578"> πατρὶ φίλῳ ἐπίηρα φέρειν <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> , ὄφρα μὴ αὖτε </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.595	<l xmlns="http://www.tei-c.org/ns/1.0" n="595"> ὡς φάτο· μείδησεν δὲ θεὰ λευκώλενος <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.600	<l xmlns="http://www.tei-c.org/ns/1.0" n="600"> ὡς ἴ̈δον <persName n="urn:cite:hmt:pers.pers192"> Ἥφαιστον</persName> διὰ δώματα ποιπνύοντα. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.603	<l xmlns="http://www.tei-c.org/ns/1.0" n="603"> οὐ <choice> <orig> μὲν</orig> <reg> μὴν</reg></choice> φόρμιγγος περικαλλέος, ἣν ἔχ' <persName n="urn:cite:hmt:pers.pers40"> Ἀπόλλων</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.608	<l xmlns="http://www.tei-c.org/ns/1.0" n="608"> <persName n="urn:cite:hmt:pers.pers192"> Ἥφαιστος</persName> ποίησεν ϊδυίῃσι πραπίδεσσι· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.609	<l xmlns="http://www.tei-c.org/ns/1.0" n="609"> <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> δὲ πρὸς ὃν, λέχος ἤϊ' <placeName n="urn:cite:hmt:place.place45"> Ὀλύμπιος</placeName> ἀστεροπητής, </l>
urn:cts:greekLit:tlg0012.tlg001.msA:1.611	<l xmlns="http://www.tei-c.org/ns/1.0" n="611"> ἔνθα κὰθεῦδ' ἀναβὰς, παρ δὲ χρυσόθρονος <persName n="urn:cite:hmt:pers.pers116"> Ἥρη</persName> . </l>
urn:cts:greekLit:tlg0012.tlg001.msA:2.2	<l xmlns="http://www.tei-c.org/ns/1.0" n="2"> εὗδον παννύχιοι· <persName n="urn:cite:hmt:pers.pers8"> Δία</persName> δ' οὐκ έχε, νήδυμος ὕπνος· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:2.3	<l xmlns="http://www.tei-c.org/ns/1.0" n="3"> ἀλλ' ὅ γε μερμήριζε κατα φρένα· ὡς <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλῆα</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:2.6	<l xmlns="http://www.tei-c.org/ns/1.0" n="6"> πέμψαι ἐπ' <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδῃ Ἀγαμέμνονι</persName> οὖλον ὄνειρον. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:2.9	<l xmlns="http://www.tei-c.org/ns/1.0" n="9"> ἐλθὼν ἐς κλισίην <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνονος Ἀτρείδαο</persName> . </l>
